record_id,phase_predicted,drift_crossed_predicted,response_crossed_predicted,tail_causal_starvation_certified_predicted,weak_only_learnable_predicted,tau_star_drift_predicted,tau_star_response_predicted,phase_observed,drift_crossed_observed,response_crossed_observed,tail_causal_starvation_certified_observed,weak_only_learnable_observed,tau_star_drift_observed,tau_star_response_observed,model_kind,rho,lag_separation,regime,data_seed,model_seed,phase_correct,drift_crossing_correct,response_crossing_correct,certificate_correct,learnability_correct,predicted_drift_time,observed_drift_time,drift_time_error,predicted_response_time,observed_response_time,response_time_error,n_trajectory_points,response_gap_rmse,drift_rmse,response_gap_sign_agreement,drift_sign_agreement,both_m_w_rmse,weak_m_w_rmse
tanh_rho-4_lag-2_positive_data-202_model-2012,transfer_then_starvation,True,True,True,True,0.0604472499729263,0.117426718622562,transfer_then_starvation,True,True,True,True,0.0755189820956678,0.14843547082894318,tanh,4.0,2,positive,202,2012,True,True,True,True,True,0.0604472499729263,0.0755189820956678,-0.015071732122741509,0.117426718622562,0.14843547082894318,-0.031008752206381177,101,2.438679857779297,0.460283487299313,1.0,1.0,0.0422066884828137,2.4797914756557367
tanh_rho-4_lag-2_positive_data-202_model-2013,suppression_throughout,False,False,False,False,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,202,2013,True,True,True,True,False,,,,,,,101,2.449627595434721,0.5048874509545729,1.0,1.0,0.031441077593523485,2.479464001860954
tanh_rho-4_lag-2_positive_data-202_model-2014,transfer_then_outcome_crossing_unlearnable,True,True,False,False,0.1207605903783975,0.252428924236223,transfer_then_starvation,True,True,True,True,0.28609413324921296,0.5349020922428884,tanh,4.0,2,positive,202,2014,False,True,True,False,False,0.1207605903783975,0.28609413324921296,-0.16533354287081548,0.252428924236223,0.5349020922428884,-0.28247316800666544,101,2.4113141120361603,0.4965166141538067,0.9702970297029703,0.9900990099009901,0.03993547099006028,2.448800549036193
tanh_rho-4_lag-2_positive_data-202_model-2015,transfer_then_outcome_crossing_unlearnable,True,True,False,False,0.2744849464315719,0.6410109221694393,transfer_then_starvation,True,True,True,True,0.34430693977050797,0.7442607119684673,tanh,4.0,2,positive,202,2015,False,True,True,False,False,0.2744849464315719,0.34430693977050797,-0.06982199333893607,0.6410109221694393,0.7442607119684673,-0.10324978979902799,101,2.4663222505618765,0.5166564787887763,0.9900990099009901,0.9900990099009901,0.026308627520220593,2.491187938547909
tanh_rho-4_lag-2_positive_data-202_model-2016,transfer_then_suppression,True,False,False,False,0.0431741126560876,inf,transfer_then_suppression,True,False,False,True,0.03217101813044567,inf,tanh,4.0,2,positive,202,2016,True,True,True,True,False,0.0431741126560876,0.03217101813044567,0.01100309452564193,,,,101,2.357945564566113,0.5000004688110256,1.0,1.0,0.03698480505555365,2.393090045036888
tanh_rho-4_lag-2_positive_data-202_model-2017,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,202,2017,True,True,True,True,True,,,,,,,101,2.505701600273158,0.4985079321758677,1.0,1.0,0.022109986514811365,2.5272616716190326
tanh_rho-4_lag-2_positive_data-203_model-2010,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,203,2010,True,True,True,True,True,,,,,,,101,2.4587945317828868,0.4623195222088885,1.0,1.0,0.06261442737783801,2.519716440424806
tanh_rho-4_lag-2_positive_data-203_model-2011,suppression_throughout,False,False,False,True,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,203,2011,True,True,True,True,True,,,,,,,101,2.5768163852341472,0.49452417511260116,1.0,1.0,0.018446170429785233,2.5951069539474374
tanh_rho-4_lag-2_positive_data-203_model-2012,transfer_then_starvation,True,True,True,True,0.059283480992065,0.1156029448997716,transfer_then_starvation,True,True,True,True,0.07384642639097706,0.144467721205129,tanh,4.0,2,positive,203,2012,True,True,True,True,True,0.059283480992065,0.07384642639097706,-0.014562945398912064,0.1156029448997716,0.144467721205129,-0.028864776305357387,101,2.43378163415265,0.4587023659623674,1.0,1.0,0.042754449828633495,2.475458857626772
tanh_rho-4_lag-2_positive_data-203_model-2013,suppression_throughout,False,False,False,False,inf,inf,suppression_throughout,False,False,False,True,inf,inf,tanh,4.0,2,positive,203,2013,True,True,True,True,False,,,,,,,101,2.447595404573027,0.5032430192616131,1.0,1.0,0.03185057338954658,2.4778604323851194
