record_id,dataset,data_seed,model_seed,weak_auc_gap,weak_only_learnable,outcome_suppression,causal_certificate,both_first_hit_tau,weak_only_first_hit_tau,first_drift_crossing_tau,first_response_crossing_tau,drift_sign_change_count,response_sign_change_count,positive_drift_area,negative_drift_area,both_cue_free_accuracy,both_aligned_accuracy,both_conflicted_accuracy,weak_only_cue_free_accuracy,weak_only_aligned_accuracy,weak_only_conflicted_accuracy,wall_time_seconds,process_peak_rss_bytes
sr-fashion_mnist-d4101-m5106,fashion_mnist,4101,5106,0.0066539199542603447,false,false,false,,,,,0,0,0,0.0027388989917199072,0.484375,0.8515625,0.09375,0.51953125,0.46875,0.55078125,42.210180166002829,732168192
sr-fashion_mnist-d4101-m5107,fashion_mnist,4101,5107,-0.012866140429105142,false,false,false,,,,,0,0,0.0065002293544239378,0,0.51171875,0.95703125,0.09765625,0.51171875,0.55078125,0.4609375,42.131485374993645,732168192
sr-fashion_mnist-d4101-m5108,fashion_mnist,4101,5108,-0.0011949234700296071,false,false,false,,,0.001970474903668118,,4,1,0.0012213435765035027,2.554656337008806e-05,0.51171875,0.90625,0.05859375,0.5,0.5,0.5,42.354402375000063,732168192
sr-fashion_mnist-d4102-m5101,fashion_mnist,4102,5101,-0.00035542745754355557,false,false,false,,,,,1,1,0.00040579789266012134,7.3109989050868274e-06,0.4609375,0.91796875,0.1171875,0.58984375,0.55859375,0.52734375,42.420679707982345,732168192
sr-fashion_mnist-d4102-m5102,fashion_mnist,4102,5102,0.0021155202761292458,false,false,false,,,,,1,1,0.00087577799780136627,0.00066407682382576833,0.58984375,1,0.04296875,0.6484375,0.66796875,0.61328125,42.44683770800475,732168192
sr-fashion_mnist-d4102-m5103,fashion_mnist,4102,5103,0.0032648089574649928,false,false,false,,,,,1,0,0.00010948313861243104,0.0009765745140155374,0.53515625,0.90625,0.3046875,0.5234375,0.51171875,0.5546875,43.079575000010664,732168192
sr-fashion_mnist-d4102-m5104,fashion_mnist,4102,5104,0.0051510779769159852,false,false,false,,,,,0,0,0,0.0016812762056360947,0.5078125,0.63671875,0.4296875,0.671875,0.53125,0.73046875,43.08632974998909,732168192
sr-fashion_mnist-d4102-m5105,fashion_mnist,4102,5105,0.00060421600101108204,false,false,false,,,,,1,1,0.00073906097385558736,0.00032049324071492524,0.5859375,0.99609375,0.015625,0.5,0.50390625,0.49609375,41.986382165981922,732168192
sr-fashion_mnist-d4102-m5106,fashion_mnist,4102,5106,0.006896081606828375,false,false,false,,,,,0,0,0,0.0027825801786093515,0.51953125,0.9609375,0.03515625,0.55859375,0.4296875,0.640625,41.959153582982253,732168192
sr-fashion_mnist-d4102-m5107,fashion_mnist,4102,5107,-0.013937783864093944,false,false,false,,,,,0,0,0.0067008240424911505,0,0.53125,0.94140625,0.09375,0.5625,0.765625,0.33203125,43.431012958026258,732168192
