record_id,model_kind,cell_id,data_seed,model_seed,beta,both_hitting_time,both_hitting_time_status,causal_starvation_certified,gated_delta_tw,gated_delta_tw_status,regime,right_censored,target_met_at_initialization,weak_auc_gap,weak_hitting_time,weak_hitting_time_status,weak_only_learnable,outcome_suppression,all_beta_robust_causal_certificate
esa-tanh-rho3_lag1-d304-m3011,tanh,rho3_lag1,304,3011,0.5,9.0573152128692289,finite,false,7.4554836967428599,finite,starvation,false,false,21.227688115276397,1.6018315161263688,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3011,tanh,rho3_lag1,304,3011,1,,right_censored,false,,right_censored,starvation,true,false,21.227688115276397,2.3561434872485156,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3011,tanh,rho3_lag1,304,3011,2,,right_censored,false,,right_censored,starvation,true,false,21.227688115276397,3.5765949811762634,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3012,tanh,rho3_lag1,304,3012,0.25,1.452239165329053,finite,false,0.64793711630214224,finite,starvation,false,false,21.242708342149854,0.80430204902691071,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3012,tanh,rho3_lag1,304,3012,0.5,7.6267740120939393,finite,false,6.2065618133185714,finite,starvation,false,false,21.242708342149854,1.420212198775368,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3012,tanh,rho3_lag1,304,3012,1,,right_censored,false,,right_censored,starvation,true,false,21.242708342149854,2.1841013308175907,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3012,tanh,rho3_lag1,304,3012,2,,right_censored,false,,right_censored,starvation,true,false,21.242708342149854,3.4474435488631072,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3013,tanh,rho3_lag1,304,3013,0.25,1.9751397633282188,finite,true,0.93125100729577404,finite,starvation,false,false,20.662369995936753,1.0438887560324448,finite,true,true,true
esa-tanh-rho3_lag1-d304-m3013,tanh,rho3_lag1,304,3013,0.5,,right_censored,true,,right_censored,starvation,true,false,20.662369995936753,1.671299738514145,finite,true,true,true
esa-tanh-rho3_lag1-d304-m3013,tanh,rho3_lag1,304,3013,1,,right_censored,true,,right_censored,starvation,true,false,20.662369995936753,2.4502498537800763,finite,true,true,true
esa-tanh-rho3_lag1-d304-m3013,tanh,rho3_lag1,304,3013,2,,right_censored,true,,right_censored,starvation,true,false,20.662369995936753,3.7180477426324319,finite,true,true,true
esa-tanh-rho3_lag1-d304-m3014,tanh,rho3_lag1,304,3014,0.25,2.3318000916819472,finite,false,1.255096683109616,finite,starvation,false,false,20.551452746614814,1.0767034085723313,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3014,tanh,rho3_lag1,304,3014,0.5,,right_censored,false,,right_censored,starvation,true,false,20.551452746614814,1.7551611388568746,finite,true,false,false
esa-tanh-rho3_lag1-d304-m3014,tanh,rho3_lag1,304,3014,1,,right_censored,false,,right_censored,starvation,true,false,20.551452746614814,2.5518338326868353,finite,true,false,false
