record_id,model_kind,cell_id,method_id,publication_label,data_seed,model_seed,weak_auc_gap,weak_rescue_score,beta_first_hit_delay,beta_first_hit_delay_status,final_both_weak_response,strong_response_auc,final_strong_response,absolute_strong_response_auc_difference_from_erm,absolute_final_strong_response_difference_from_erm,diagnostic_status,target_attainment_fraction,feasibility_fraction,cap_binding_fraction,max_absolute_strong_drift_change,paired_wall_time_ratio_to_erm,process_peak_rss_bytes,static_parameter_bytes,cuda_status
esb-bloop-rho4_lag2-d301-m3015,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,301,3015,0.0051862623775377863,-0.0051862623775377863,8.8830756042934667e-05,finite,5.0327844619750977,6.1720954695716497,0.47756943106651306,5.9747149178758274,1.1215273439884186,available,1,1,0,0.2815081775188446,1.5780407261824412,386859008,17152,N/A
esb-bloop-rho4_lag2-d301-m3016,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,301,3016,0.0022094493731856344,-0.0022094493731856344,4.4572965002487308e-05,finite,4.698216438293457,6.9136636511888359,0.52505218982696533,5.1298056863248345,1.0695817470550537,available,1,1,0,0.25764724612236023,1.6928827131103197,386498560,17152,N/A
esb-bloop-rho4_lag2-d301-m3017,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,301,3017,-0.0051717183087021112,-0.0051717183087021112,-0.0013846605907263942,finite,4.8336668014526367,6.4832059880718589,0.5108376145362854,5.4842762503772953,1.0810859799385071,available,1,1,0,0.25961950421333313,1.3468722241209918,390889472,17152,N/A
esb-bloop-rho4_lag2-d302-m3010,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,302,3010,0.0043313314905390138,-0.0043313314905390138,3.24792904526916e-05,finite,4.8608665466308594,6.7469202043255798,0.52730441093444824,5.4711814999580355,1.0922031402587891,available,1,1,0,0.26085224747657776,1.1689461262064202,374767616,17152,N/A
esb-bloop-rho4_lag2-d302-m3011,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,302,3011,0.0023592425044625998,-0.0023592425044625998,-2.77529258356779e-05,finite,4.8638725280761719,6.1079121220391235,0.49064546823501587,5.8351540083065645,1.102695643901825,available,1,1,0,0.26145514845848083,1.1247587303031756,379994112,17152,N/A
esb-bloop-rho4_lag2-d302-m3012,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,302,3012,0.003668537666089833,-0.003668537666089833,5.0086575003049916e-06,finite,4.8911256790161133,6.5201093571260573,0.51547843217849731,5.69011441245675,1.0957278609275818,available,1,1,0,0.26043698191642761,1.1701644005805047,382861312,17152,N/A
esb-bloop-rho4_lag2-d302-m3013,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,302,3013,0.0042187388520687815,-0.0042187388520687815,7.3452930808404204e-05,finite,4.9796595573425293,6.1983299775980409,0.4713892936706543,5.8701251313090328,1.1273863315582275,available,1,1,0,0.27768838405609131,1.2900055199949134,379715584,17152,N/A
esb-bloop-rho4_lag2-d302-m3014,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,302,3014,-0.00076927555492147816,-0.00076927555492147816,-0.00067113085555403629,finite,4.9330034255981445,6.2224593718536205,0.4694182276725769,5.8280002254992702,1.1280011534690857,available,1,1,0,0.27406147122383118,1.3062395313501929,391610368,17152,N/A
esb-bloop-rho4_lag2-d302-m3015,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,302,3015,0.005231093289330602,-0.005231093289330602,8.8596439272059513e-05,finite,5.0401148796081543,6.1823650287464256,0.47464513778686523,6.0776925707235945,1.1425533294677734,available,1,1,0,0.28665620088577271,1.2891886978290985,381665280,17152,N/A
esb-bloop-rho4_lag2-d302-m3016,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,302,3016,0.0022460866719484327,-0.0022460866719484327,4.4021532562776855e-05,finite,4.7038159370422363,6.9441447512712333,0.52403795719146729,5.2129812657833092,1.0890293121337891,available,1,1,0,0.26238498091697693,1.5312831112826895,379764736,17152,N/A
esb-bloop-rho4_lag2-d302-m3017,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,302,3017,-0.0052208652719855312,-0.0052208652719855312,-0.0014184767053335712,finite,4.8401145935058594,6.5003184146480635,0.50865668058395386,5.5767336364835494,1.1012009978294373,available,1,1,0,0.26433083415031433,1.3566234463109421,387104768,17152,N/A
esb-bloop-rho4_lag2-d303-m3010,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,303,3010,0.0043267521774396304,-0.0043267521774396304,3.2773429983645741e-05,finite,4.8295736312866211,6.6904370924225081,0.52585685253143311,5.5008294435217966,1.0895267724990845,available,1,1,0,0.26098841428756714,1.3529189438265379,385515520,17152,N/A
esb-bloop-rho4_lag2-d303-m3011,tanh,rho4_lag2,bloop,Bloop-style shadow-target rescue,303,3011,0.0023591346107423301,-0.0023591346107423301,-2.6860075578838405e-05,finite,4.8328437805175781,6.0479178566019982,0.48724141716957092,5.8671559281647205,1.1017685830593109,available,1,1,0,0.26192960143089294,1.4363580492697472,383844352,17152,N/A
